,Gender,Height,Weight,Index,Obese
389,Female,150,50,2,0
390,Female,167,58,2,0
391,Female,180,70,2,0
392,Female,183,76,2,0
393,Female,183,87,3,0
394,Female,152,154,5,1
395,Female,164,71,3,0
396,Male,187,96,3,0
397,Male,169,136,5,1
398,Female,149,61,3,0
399,Male,163,137,5,1
400,Female,195,104,3,0
401,Male,174,107,4,1
402,Male,182,70,2,0
403,Male,169,110,4,1
404,Male,193,130,4,1
405,Male,148,141,5,1
406,Male,186,68,2,0
407,Male,165,143,5,1
408,Female,146,123,5,1
409,Female,166,133,5,1
410,Male,179,56,1,0
411,Female,177,101,4,1
412,Male,181,154,5,1
413,Female,161,154,5,1
414,Female,157,103,5,1
415,Female,169,98,4,1
416,Female,152,114,5,1
417,Female,162,64,2,0
418,Male,162,130,5,1
419,Female,177,61,2,0
420,Female,195,61,1,0
421,Male,140,146,5,1
422,Female,186,146,5,1
423,Female,178,107,4,1
424,Male,174,54,1,0
425,Female,180,59,1,0
426,Male,188,141,4,1
427,Female,187,130,4,1
428,Female,153,77,4,1
429,Female,165,95,4,1
430,Female,178,79,2,0
431,Female,163,154,5,1
432,Female,150,97,5,1
433,Male,179,127,4,1
434,Male,165,62,2,0
435,Male,168,158,5,1
436,Female,153,133,5,1
437,Male,184,157,5,1
438,Male,188,65,1,0
439,Female,166,153,5,1
440,Female,172,116,4,1
441,Male,182,73,2,0
442,Male,143,149,5,1
443,Male,152,146,5,1
444,Female,186,128,4,1
445,Male,159,140,5,1
446,Male,146,70,4,1
447,Female,176,121,4,1
448,Female,146,101,5,1
449,Male,159,145,5,1
450,Male,162,157,5,1
451,Female,172,90,4,1
452,Female,169,121,5,1
453,Male,182,50,0,0
454,Female,183,79,2,0
455,Male,176,77,2,0
456,Female,188,128,4,1
457,Female,175,83,2,0
458,Male,154,81,4,1
459,Female,184,147,5,1
460,Male,179,123,4,1
461,Male,152,132,5,1
462,Male,179,56,1,0
463,Female,145,141,5,1
464,Female,181,80,2,0
465,Male,158,127,5,1
466,Female,188,99,3,0
467,Male,145,142,5,1
468,Male,161,115,5,1
469,Male,198,109,3,0
470,Male,147,142,5,1
471,Male,154,112,5,1
472,Female,178,65,2,0
473,Male,195,153,5,1
474,Female,167,79,3,0
475,Male,183,131,4,1
476,Female,164,142,5,1
477,Male,167,64,2,0
478,Female,151,55,2,0
479,Female,147,107,5,1
480,Female,155,115,5,1
481,Female,172,108,4,1
482,Female,142,86,5,1
483,Male,146,85,4,1
484,Female,188,115,4,1
485,Male,173,111,4,1
486,Female,160,109,5,1
487,Male,187,80,2,0
488,Male,198,136,4,1
489,Female,179,150,5,1
490,Female,164,59,2,0
491,Female,146,147,5,1
492,Female,198,50,0,0
493,Female,170,53,1,0
494,Male,152,98,5,1
495,Female,150,153,5,1
496,Female,184,121,4,1
497,Female,141,136,5,1
498,Male,150,95,5,1
499,Male,173,131,5,1
